# # Wavelength(nm), Intensity (W)
3.0000e+02,2.3405e-07
3.1000e+02,2.4293e-07
3.2000e+02,2.5624e-07
3.3000e+02,2.6511e-07
3.4000e+02,2.7177e-07
3.5000e+02,2.7399e-07
3.6000e+02,2.6955e-07
3.7000e+02,2.6289e-07
3.8000e+02,2.5069e-07
3.9000e+02,2.3738e-07
4.0000e+02,2.4625e-07
4.1000e+02,3.6162e-07
4.2000e+02,8.0421e-07
4.3000e+02,1.9434e-06
4.4000e+02,3.6827e-06
4.5000e+02,5.4598e-06
4.6000e+02,6.3416e-06
4.7000e+02,5.6217e-06
4.8000e+02,4.0521e-06
4.9000e+02,2.4870e-06
5.0000e+02,1.9567e-06
5.1000e+02,2.9340e-06
5.2000e+02,5.1580e-06
5.3000e+02,8.5912e-06
5.4000e+02,1.3142e-05
5.5000e+02,1.8613e-05
5.6000e+02,2.4724e-05
5.7000e+02,3.1308e-05
5.8000e+02,3.8175e-05
5.9000e+02,4.5008e-05
6.0000e+02,5.1210e-05
6.1000e+02,5.6022e-05
6.2000e+02,5.9081e-05
6.3000e+02,6.0028e-05
6.4000e+02,5.8831e-05
6.5000e+02,5.5881e-05
6.6000e+02,5.1461e-05
6.7000e+02,4.6148e-05
6.8000e+02,4.0456e-05
6.9000e+02,3.4902e-05
7.0000e+02,2.9626e-05
7.1000e+02,2.4840e-05
7.2000e+02,2.0584e-05
7.3000e+02,1.6924e-05
7.4000e+02,1.3820e-05
7.5000e+02,1.1220e-05
7.6000e+02,9.0582e-06
7.7000e+02,7.3111e-06
7.8000e+02,5.8802e-06
7.9000e+02,4.7432e-06
8.0000e+02,3.8347e-06
8.1000e+02,3.1536e-06
8.2000e+02,2.7110e-06
8.3000e+02,2.6411e-06
8.4000e+02,3.3000e-06
8.5000e+02,5.2900e-06
8.6000e+02,9.6960e-06
8.7000e+02,1.8135e-05
8.8000e+02,3.1330e-05
8.9000e+02,4.7037e-05
9.0000e+02,6.0213e-05
9.1000e+02,6.4307e-05
9.2000e+02,5.7426e-05
9.3000e+02,4.4032e-05
9.4000e+02,3.0265e-05
9.5000e+02,2.0082e-05
9.6000e+02,1.4223e-05
9.7000e+02,1.0975e-05
9.8000e+02,9.9334e-06
9.9000e+02,1.1154e-05
1.0000e+03,1.4700e-05
1.0100e+03,2.0765e-05
1.0200e+03,2.9391e-05
1.0300e+03,3.9884e-05
1.0400e+03,5.1265e-05
1.0500e+03,6.2347e-05
1.0600e+03,7.2134e-05
1.0700e+03,8.0147e-05
1.0800e+03,8.6178e-05
1.0900e+03,9.0347e-05
1.1000e+03,9.3200e-05
1.1100e+03,9.4843e-05
1.1200e+03,9.5627e-05
1.1300e+03,9.5693e-05
1.1400e+03,9.5235e-05
1.1500e+03,9.4081e-05
1.1600e+03,9.2503e-05
1.1700e+03,9.0206e-05
1.1800e+03,8.7473e-05
1.1900e+03,8.3946e-05
1.2000e+03,7.9983e-05
1.2100e+03,7.5629e-05
1.2200e+03,7.1045e-05
1.2300e+03,6.6027e-05
1.2400e+03,6.1095e-05
1.2500e+03,5.5989e-05
1.2600e+03,5.1069e-05
1.2700e+03,4.6420e-05
1.2800e+03,4.2196e-05
1.2900e+03,3.8472e-05
1.3000e+03,3.5294e-05
1.3100e+03,3.2944e-05
1.3200e+03,3.1348e-05
1.3300e+03,3.0316e-05
1.3400e+03,2.9312e-05
1.3500e+03,2.7588e-05
1.3600e+03,2.4661e-05
1.3700e+03,2.0760e-05
1.3800e+03,1.6636e-05
1.3900e+03,1.3059e-05
1.4000e+03,1.0374e-05
1.4100e+03,8.3960e-06
1.4200e+03,6.8574e-06
1.4300e+03,5.6461e-06
1.4400e+03,4.6910e-06
1.4500e+03,3.9512e-06
1.4600e+03,3.3721e-06
1.4700e+03,2.9162e-06
1.4800e+03,2.5679e-06
1.4900e+03,2.3261e-06
1.5000e+03,2.1841e-06
1.5100e+03,2.1131e-06
1.5200e+03,2.1098e-06
1.5300e+03,2.1531e-06
1.5400e+03,2.2185e-06
1.5500e+03,2.2906e-06
1.5600e+03,2.3550e-06
1.5700e+03,2.4049e-06
1.5800e+03,2.4415e-06
1.5900e+03,2.4470e-06
1.6000e+03,2.4570e-06
1.6100e+03,2.4459e-06
1.6200e+03,2.4171e-06
1.6300e+03,2.4015e-06
1.6400e+03,2.3672e-06
1.6500e+03,2.3483e-06
1.6600e+03,2.3283e-06
1.6700e+03,2.3161e-06
1.6800e+03,2.3106e-06
1.6900e+03,2.3261e-06
